Datetime_UTC,RecNbr,Array_ID_1min,Stn_Code,DHI_Avg,DHI_Std,GHI_Avg,GHI_Std,Irrad_Direct_Avg,Irrad_Direct_Std,SunShine_Tot,Bat_Min,GTI_Avg,GTI_Std,GTISW_Avg,GTISW_Std
2023-05-06 21:14:00,13286,101.0,555.0,-2.6365416049957275,0.06596459448337555,-3.466193199157715,0.1114429458975792,4.31438684463501,5.536578178405762,0.0,13.6,-5.858158588409424,0.1193748414516449,-3.2071876525878906,0.2708881199359894
2023-05-06 21:15:00,13287,101.0,555.0,-2.6608128547668457,0.06761305779218674,-3.556109666824341,0.10987617820501328,3.9510657787323,5.894002914428711,0.0,13.6,-6.041795253753662,0.12845313549041748,-3.30574107170105,0.2762388288974762
2023-05-06 21:16:00,13288,101.0,555.0,-2.6811442375183105,0.061963364481925964,-3.5338213443756104,0.0798303559422493,3.190356731414795,4.3751678466796875,0.0,13.59,-6.242006778717041,0.09980586916208267,-3.5254642963409424,0.23311573266983032
2023-05-06 21:17:00,13289,101.0,555.0,-2.658851385116577,0.04657802730798721,-3.5338082313537598,0.06156032904982567,7.198363780975342,1.3184536695480347,0.0,13.6,-6.191110134124756,0.08677320927381516,-3.6534230709075928,0.118582583963871
2023-05-06 21:18:00,13290,101.0,555.0,-2.646395444869995,0.05386616662144661,-3.6007261276245117,0.10352173447608948,6.823709487915039,5.532257556915283,0.0,13.6,-6.153498649597168,0.09907238930463791,-3.491471529006958,0.21020661294460297
2023-05-06 21:19:00,13291,101.0,555.0,-2.6758711338043213,0.05097995698451996,-3.664346933364868,0.11461199820041656,2.8270950317382812,6.154751300811768,0.0,13.6,-6.163415431976318,0.1439042091369629,-3.270615816116333,0.23389574885368347
2023-05-06 21:20:00,13292,101.0,555.0,-2.6922800540924072,0.060268692672252655,-3.701122760772705,0.11601845920085907,2.1685709953308105,6.149288654327393,0.0,13.6,-6.188908576965332,0.11922959983348846,-3.2774393558502197,0.2701840102672577
2023-05-06 21:21:00,13293,101.0,555.0,-2.6582372188568115,0.059722721576690674,-3.6841137409210205,0.11838386207818985,1.1694309711456299,6.29542875289917,0.0,13.59,-6.219960689544678,0.12698894739151,-3.228787422180176,0.26096686720848083
2023-05-06 21:22:00,13294,101.0,555.0,-2.582854986190796,0.06279285252094269,-3.6145474910736084,0.12807266414165497,2.259429693222046,6.606557369232178,0.0,13.6,-6.072836399078369,0.13019905984401703,-3.1030633449554443,0.2731180191040039
2023-05-06 21:23:00,13295,101.0,555.0,-2.480609178543091,0.05666283145546913,-3.4964375495910645,0.1262386441230774,2.282155752182007,6.133467197418213,0.0,13.6,-5.961119174957275,0.13001485168933868,-3.0271782875061035,0.2857208251953125
